BUSINESS_PLAN_ID,CREATED_AT,BUSINESS_TYPE,TAX_CODE,END_USER,QUOTE_NUMBER,PROJECT,PAYMENT_TERMS,TECHNOLOGY_TRANSER,STATUS,WARRANTY_PERIOD,NUMBER_MAINTENANCE_TIMES,NOTE
1,31-Jul-24,Trước thầu,3500696503,NSG VIỆT NAM,,ZSX Primus IV hệ 3kW,,3.00%,Intent our solution 70%,,,
2,31-Jul-24,Trước thầu,0312138469,4100666915,,,,2.00%,Interest 30%,,,
3,01-Aug-24,Trước thầu,0100114025,SGS VIỆT NAM,HLH106.30724,,30:70,3.00%,Interest 30%,,,Test
4,15-Jul-24,Trước thầu,4300793861,HÒA PHÁT DUNG QUẤT,HLH057.290724,,10-60-25-5,3.00%,Intent our solution 70%,12 tháng,0,
6,05-Aug-24,Trước thầu,3501382588,,HLH150.05082024,,Chuyển khoản 30-60-10,0.00%,Consideration 50%,12 tháng,0,
7,,,0100839134,,,,,0.00%,,,,
8,09-Aug-24,Trước thầu,3500696503,NSG VIỆT NAM,,,,3.00%,,,,
10,13-Aug-24,Trước thầu,3301601070,Phenikaa Huế,,,,4.00%,Consideration 50%,12 tháng,0,
11,19-Aug-24,,0201311397,lg,,,,0.00%,New 10%,12 Tháng,0,
